close,y_pred,open_time
0.31877,0,2021-12-26 14:00:00+02:00
0.32307,1,2021-12-26 16:00:00+02:00
0.326,0,2021-12-26 18:00:00+02:00
0.3287,1,2021-12-26 20:00:00+02:00
0.32938,0,2021-12-26 22:00:00+02:00
0.32977,0,2021-12-27 00:00:00+02:00
0.32965,1,2021-12-27 02:00:00+02:00
0.33414,0,2021-12-27 04:00:00+02:00
0.33462,0,2021-12-27 06:00:00+02:00
0.33569,0,2021-12-27 08:00:00+02:00
0.33596,0,2021-12-27 10:00:00+02:00
0.34628,1,2021-12-27 12:00:00+02:00
0.34736,1,2021-12-27 14:00:00+02:00
0.3486,0,2021-12-27 16:00:00+02:00
0.34958,0,2021-12-27 18:00:00+02:00
0.34367,0,2021-12-27 20:00:00+02:00
0.33984,0,2021-12-27 22:00:00+02:00
0.33701,0,2021-12-28 00:00:00+02:00
0.32736,0,2021-12-28 02:00:00+02:00
0.32316,0,2021-12-28 04:00:00+02:00
0.31907,1,2021-12-28 06:00:00+02:00
0.32075,1,2021-12-28 08:00:00+02:00
0.32074,0,2021-12-28 10:00:00+02:00
0.3259,1,2021-12-28 12:00:00+02:00
0.32226,0,2021-12-28 14:00:00+02:00
0.32016,0,2021-12-28 16:00:00+02:00
0.31305,0,2021-12-28 18:00:00+02:00
0.30645,0,2021-12-28 20:00:00+02:00
0.30442,1,2021-12-28 22:00:00+02:00
0.30344,0,2021-12-29 00:00:00+02:00
0.30459,1,2021-12-29 02:00:00+02:00
0.30615,0,2021-12-29 04:00:00+02:00
0.303,0,2021-12-29 06:00:00+02:00
0.30029,0,2021-12-29 08:00:00+02:00
0.30356,1,2021-12-29 10:00:00+02:00
0.30188,0,2021-12-29 12:00:00+02:00
0.29273,0,2021-12-29 14:00:00+02:00
0.29826,1,2021-12-29 16:00:00+02:00
0.29342,0,2021-12-29 18:00:00+02:00
0.29157,0,2021-12-29 20:00:00+02:00
0.29345,1,2021-12-29 22:00:00+02:00
0.28719,0,2021-12-30 00:00:00+02:00
0.28395,1,2021-12-30 02:00:00+02:00
0.28045,0,2021-12-30 04:00:00+02:00
0.28545,1,2021-12-30 06:00:00+02:00
0.28949,1,2021-12-30 08:00:00+02:00
0.28591,0,2021-12-30 10:00:00+02:00
0.29211,1,2021-12-30 12:00:00+02:00
0.29145,0,2021-12-30 14:00:00+02:00
0.28874,0,2021-12-30 16:00:00+02:00
0.29168,1,2021-12-30 18:00:00+02:00
0.29142,0,2021-12-30 20:00:00+02:00
0.2906,0,2021-12-30 22:00:00+02:00
0.28968,0,2021-12-31 00:00:00+02:00
0.28598,1,2021-12-31 02:00:00+02:00
0.28744,0,2021-12-31 04:00:00+02:00
0.2867,0,2021-12-31 06:00:00+02:00
0.28723,1,2021-12-31 08:00:00+02:00
0.29254,1,2021-12-31 10:00:00+02:00
0.29114,0,2021-12-31 12:00:00+02:00
0.29047,0,2021-12-31 14:00:00+02:00
0.29152,1,2021-12-31 16:00:00+02:00
0.28686,0,2021-12-31 18:00:00+02:00
0.27594,0,2021-12-31 20:00:00+02:00
0.28275,1,2021-12-31 22:00:00+02:00
0.28333,0,2022-01-01 00:00:00+02:00
0.28756,1,2022-01-01 02:00:00+02:00
0.28748,0,2022-01-01 04:00:00+02:00
0.28811,1,2022-01-01 06:00:00+02:00
0.28822,0,2022-01-01 08:00:00+02:00
0.28725,0,2022-01-01 10:00:00+02:00
0.28548,0,2022-01-01 12:00:00+02:00
0.28828,1,2022-01-01 14:00:00+02:00
0.28943,1,2022-01-01 16:00:00+02:00
0.29277,1,2022-01-01 18:00:00+02:00
0.29177,0,2022-01-01 20:00:00+02:00
0.29219,0,2022-01-01 22:00:00+02:00
0.29501,1,2022-01-02 00:00:00+02:00
0.30066,0,2022-01-02 02:00:00+02:00
0.30128,1,2022-01-02 04:00:00+02:00
0.29995,0,2022-01-02 06:00:00+02:00
0.29986,1,2022-01-02 08:00:00+02:00
0.30861,1,2022-01-02 10:00:00+02:00
0.3128,1,2022-01-02 12:00:00+02:00
0.30927,1,2022-01-02 14:00:00+02:00
0.31345,1,2022-01-02 16:00:00+02:00
0.31248,0,2022-01-02 18:00:00+02:00
0.30659,0,2022-01-02 20:00:00+02:00
0.30866,1,2022-01-02 22:00:00+02:00
0.31135,1,2022-01-03 00:00:00+02:00
0.31599,1,2022-01-03 02:00:00+02:00
0.31057,0,2022-01-03 04:00:00+02:00
0.31304,1,2022-01-03 06:00:00+02:00
0.30919,0,2022-01-03 08:00:00+02:00
0.30542,0,2022-01-03 10:00:00+02:00
0.31027,1,2022-01-03 12:00:00+02:00
