open_time,close,y_pred,open
2023-02-17 16:00:00+02:00,0.13984,1,0.13828
2023-02-17 18:00:00+02:00,0.1402,0,0.13983
2023-02-17 20:00:00+02:00,0.14116,1,0.14021
2023-02-17 22:00:00+02:00,0.14049,0,0.14117
2023-02-18 00:00:00+02:00,0.14004,1,0.14049
2023-02-18 02:00:00+02:00,0.14214,1,0.14003
2023-02-18 04:00:00+02:00,0.14173,0,0.14214
2023-02-18 06:00:00+02:00,0.14184,1,0.14173
2023-02-18 08:00:00+02:00,0.14049,0,0.14184
2023-02-18 10:00:00+02:00,0.14091,1,0.14048
2023-02-18 12:00:00+02:00,0.14001,0,0.14093
2023-02-18 14:00:00+02:00,0.14036,1,0.14
2023-02-18 16:00:00+02:00,0.14108,0,0.14037
2023-02-18 18:00:00+02:00,0.14076,1,0.14109
2023-02-18 20:00:00+02:00,0.1402,0,0.14075
2023-02-18 22:00:00+02:00,0.14023,1,0.14021
2023-02-19 00:00:00+02:00,0.14026,1,0.14023
2023-02-19 02:00:00+02:00,0.14076,0,0.14027
2023-02-19 04:00:00+02:00,0.14129,0,0.14079
2023-02-19 06:00:00+02:00,0.14176,1,0.14129
2023-02-19 08:00:00+02:00,0.14071,0,0.14175
2023-02-19 10:00:00+02:00,0.14033,1,0.14071
2023-02-19 12:00:00+02:00,0.14247,1,0.14034
2023-02-19 14:00:00+02:00,0.14227,0,0.14247
2023-02-19 16:00:00+02:00,0.14331,1,0.14228
2023-02-19 18:00:00+02:00,0.13923,0,0.14331
2023-02-19 20:00:00+02:00,0.13949,1,0.13921
2023-02-19 22:00:00+02:00,0.14136,1,0.13949
2023-02-20 00:00:00+02:00,0.14148,0,0.14136
2023-02-20 02:00:00+02:00,0.14044,1,0.14148
2023-02-20 04:00:00+02:00,0.14152,1,0.14043
2023-02-20 06:00:00+02:00,0.14235,0,0.14153
2023-02-20 08:00:00+02:00,0.14306,1,0.14234
2023-02-20 10:00:00+02:00,0.14435,1,0.14307
2023-02-20 12:00:00+02:00,0.14545,0,0.14436
2023-02-20 14:00:00+02:00,0.14558,0,0.14547
2023-02-20 16:00:00+02:00,0.14639,1,0.1456
