close,y_pred,open_time
0.13827,0,2023-02-17 14:00:00+02:00
0.13984,1,2023-02-17 16:00:00+02:00
0.1402,0,2023-02-17 18:00:00+02:00
0.14116,1,2023-02-17 20:00:00+02:00
0.14049,0,2023-02-17 22:00:00+02:00
0.14004,1,2023-02-18 00:00:00+02:00
0.14214,1,2023-02-18 02:00:00+02:00
0.14173,0,2023-02-18 04:00:00+02:00
0.14184,1,2023-02-18 06:00:00+02:00
0.14049,0,2023-02-18 08:00:00+02:00
0.14091,1,2023-02-18 10:00:00+02:00
0.14001,0,2023-02-18 12:00:00+02:00
0.14036,1,2023-02-18 14:00:00+02:00
0.14108,0,2023-02-18 16:00:00+02:00
0.14076,1,2023-02-18 18:00:00+02:00
0.1402,0,2023-02-18 20:00:00+02:00
0.14023,1,2023-02-18 22:00:00+02:00
0.14026,1,2023-02-19 00:00:00+02:00
0.14076,0,2023-02-19 02:00:00+02:00
0.14129,0,2023-02-19 04:00:00+02:00
0.14176,1,2023-02-19 06:00:00+02:00
0.14071,0,2023-02-19 08:00:00+02:00
0.14033,1,2023-02-19 10:00:00+02:00
0.14247,1,2023-02-19 12:00:00+02:00
0.14227,0,2023-02-19 14:00:00+02:00
0.14331,1,2023-02-19 16:00:00+02:00
0.13923,0,2023-02-19 18:00:00+02:00
0.13949,1,2023-02-19 20:00:00+02:00
0.14136,1,2023-02-19 22:00:00+02:00
0.14148,0,2023-02-20 00:00:00+02:00
0.14044,1,2023-02-20 02:00:00+02:00
0.14152,1,2023-02-20 04:00:00+02:00
0.14235,0,2023-02-20 06:00:00+02:00
0.14306,1,2023-02-20 08:00:00+02:00
0.14435,1,2023-02-20 10:00:00+02:00
0.14545,0,2023-02-20 12:00:00+02:00
0.14558,0,2023-02-20 14:00:00+02:00
0.14639,1,2023-02-20 16:00:00+02:00
0.14503,1,2023-02-20 18:00:00+02:00
0.1464,0,2023-02-20 20:00:00+02:00
0.14691,0,2023-02-20 22:00:00+02:00
0.14572,1,2023-02-21 00:00:00+02:00
0.14485,0,2023-02-21 02:00:00+02:00
0.14512,0,2023-02-21 04:00:00+02:00
0.1461,0,2023-02-21 06:00:00+02:00
0.14626,1,2023-02-21 08:00:00+02:00
0.14361,0,2023-02-21 10:00:00+02:00
0.14083,1,2023-02-21 12:00:00+02:00
0.13989,1,2023-02-21 14:00:00+02:00
0.14098,1,2023-02-21 16:00:00+02:00
0.14084,0,2023-02-21 18:00:00+02:00
0.14106,0,2023-02-21 20:00:00+02:00
0.13937,0,2023-02-21 22:00:00+02:00
0.1415,1,2023-02-22 00:00:00+02:00
