open_time,close,y_pred,open
2024-04-10 19:00:00+03:00,0.14713,1,0.14604
2024-04-10 21:00:00+03:00,0.1479,0,0.14716
2024-04-10 23:00:00+03:00,0.14719,0,0.14791
2024-04-11 01:00:00+03:00,0.14759,1,0.14719
2024-04-11 03:00:00+03:00,0.1483,0,0.14762
2024-04-11 05:00:00+03:00,0.14791,1,0.14831
2024-04-11 07:00:00+03:00,0.14783,1,0.14791
2024-04-11 09:00:00+03:00,0.14733,1,0.14783
2024-04-11 11:00:00+03:00,0.14563,0,0.14731
2024-04-11 13:00:00+03:00,0.14345,0,0.14564
2024-04-11 15:00:00+03:00,0.14382,1,0.14346
2024-04-11 17:00:00+03:00,0.14267,0,0.14382
2024-04-11 19:00:00+03:00,0.1414,1,0.14264
2024-04-11 21:00:00+03:00,0.14195,0,0.14139
2024-04-11 23:00:00+03:00,0.14156,1,0.14195
2024-04-12 01:00:00+03:00,0.14203,1,0.14156
2024-04-12 03:00:00+03:00,0.14287,0,0.14201
2024-04-12 05:00:00+03:00,0.14415,1,0.14284
2024-04-12 07:00:00+03:00,0.14289,0,0.14414
2024-04-12 09:00:00+03:00,0.14109,0,0.1429
2024-04-12 11:00:00+03:00,0.14047,0,0.14109
2024-04-12 13:00:00+03:00,0.14083,1,0.14047
2024-04-12 15:00:00+03:00,0.13537,0,0.14081
2024-04-12 17:00:00+03:00,0.13364,1,0.13538
2024-04-12 19:00:00+03:00,0.12713,0,0.13365
2024-04-12 21:00:00+03:00,0.1158,0,0.12711
2024-04-12 23:00:00+03:00,0.11866,1,0.11581
2024-04-13 01:00:00+03:00,0.12004,1,0.11866
2024-04-13 03:00:00+03:00,0.11339,0,0.12004
2024-04-13 05:00:00+03:00,0.11643,1,0.1134
2024-04-13 07:00:00+03:00,0.11692,1,0.11642
2024-04-13 09:00:00+03:00,0.11662,0,0.11692
2024-04-13 11:00:00+03:00,0.11698,0,0.1166
2024-04-13 13:00:00+03:00,0.11693,1,0.11698
2024-04-13 15:00:00+03:00,0.11725,1,0.11693
2024-04-13 17:00:00+03:00,0.11529,0,0.11724
2024-04-13 19:00:00+03:00,0.10651,0,0.11528
2024-04-13 21:00:00+03:00,0.10009,0,0.10651
2024-04-13 23:00:00+03:00,0.09369,0,0.1001
2024-04-14 01:00:00+03:00,0.09791,1,0.09367
2024-04-14 03:00:00+03:00,0.09591,0,0.09792
2024-04-14 05:00:00+03:00,0.09554,0,0.09591
2024-04-14 07:00:00+03:00,0.10197,1,0.09554
2024-04-14 09:00:00+03:00,0.10442,1,0.10197
2024-04-14 11:00:00+03:00,0.10295,0,0.10441
2024-04-14 13:00:00+03:00,0.10066,0,0.10296
2024-04-14 15:00:00+03:00,0.10042,1,0.10065
