close,y_pred,open_time
0.14713,1,2024-04-10 19:00:00+03:00
0.1479,0,2024-04-10 21:00:00+03:00
0.14719,0,2024-04-10 23:00:00+03:00
0.14759,1,2024-04-11 01:00:00+03:00
0.1483,0,2024-04-11 03:00:00+03:00
0.14791,1,2024-04-11 05:00:00+03:00
0.14783,1,2024-04-11 07:00:00+03:00
0.14733,1,2024-04-11 09:00:00+03:00
0.14563,0,2024-04-11 11:00:00+03:00
0.14345,0,2024-04-11 13:00:00+03:00
0.14382,1,2024-04-11 15:00:00+03:00
0.14267,0,2024-04-11 17:00:00+03:00
0.1414,1,2024-04-11 19:00:00+03:00
0.14195,0,2024-04-11 21:00:00+03:00
0.14156,1,2024-04-11 23:00:00+03:00
0.14203,1,2024-04-12 01:00:00+03:00
0.14287,0,2024-04-12 03:00:00+03:00
0.14415,1,2024-04-12 05:00:00+03:00
0.14289,0,2024-04-12 07:00:00+03:00
0.14109,0,2024-04-12 09:00:00+03:00
0.14047,0,2024-04-12 11:00:00+03:00
0.14083,1,2024-04-12 13:00:00+03:00
0.13537,0,2024-04-12 15:00:00+03:00
0.13364,1,2024-04-12 17:00:00+03:00
0.12713,0,2024-04-12 19:00:00+03:00
0.1158,0,2024-04-12 21:00:00+03:00
0.11866,1,2024-04-12 23:00:00+03:00
0.12004,1,2024-04-13 01:00:00+03:00
0.11339,0,2024-04-13 03:00:00+03:00
0.11643,1,2024-04-13 05:00:00+03:00
0.11692,1,2024-04-13 07:00:00+03:00
0.11662,0,2024-04-13 09:00:00+03:00
0.11698,0,2024-04-13 11:00:00+03:00
0.11693,1,2024-04-13 13:00:00+03:00
0.11725,1,2024-04-13 15:00:00+03:00
0.11529,0,2024-04-13 17:00:00+03:00
0.10651,0,2024-04-13 19:00:00+03:00
0.10009,0,2024-04-13 21:00:00+03:00
0.09369,0,2024-04-13 23:00:00+03:00
0.09791,1,2024-04-14 01:00:00+03:00
0.09591,0,2024-04-14 03:00:00+03:00
0.09554,0,2024-04-14 05:00:00+03:00
0.10197,1,2024-04-14 07:00:00+03:00
0.10442,1,2024-04-14 09:00:00+03:00
0.10295,0,2024-04-14 11:00:00+03:00
0.10066,0,2024-04-14 13:00:00+03:00
0.10042,1,2024-04-14 15:00:00+03:00
0.10101,1,2024-04-14 17:00:00+03:00
0.10108,0,2024-04-14 19:00:00+03:00
0.10234,1,2024-04-14 21:00:00+03:00
0.1009,0,2024-04-14 23:00:00+03:00
0.10727,1,2024-04-15 01:00:00+03:00
0.10566,0,2024-04-15 03:00:00+03:00
0.10526,0,2024-04-15 05:00:00+03:00
0.10873,1,2024-04-15 07:00:00+03:00
0.1107,1,2024-04-15 09:00:00+03:00
0.11038,0,2024-04-15 11:00:00+03:00
0.10958,0,2024-04-15 13:00:00+03:00
0.10812,0,2024-04-15 15:00:00+03:00
0.10603,0,2024-04-15 17:00:00+03:00
0.10456,0,2024-04-15 19:00:00+03:00
0.10444,1,2024-04-15 21:00:00+03:00
0.10304,1,2024-04-15 23:00:00+03:00
0.10216,0,2024-04-16 01:00:00+03:00
0.10191,0,2024-04-16 03:00:00+03:00
0.10076,0,2024-04-16 05:00:00+03:00
0.10044,1,2024-04-16 07:00:00+03:00
0.10412,1,2024-04-16 09:00:00+03:00
0.10401,0,2024-04-16 11:00:00+03:00
0.10529,1,2024-04-16 13:00:00+03:00
0.1031,0,2024-04-16 15:00:00+03:00
0.10177,0,2024-04-16 17:00:00+03:00
0.10575,1,2024-04-16 19:00:00+03:00
0.10583,0,2024-04-16 21:00:00+03:00
0.10823,1,2024-04-16 23:00:00+03:00
0.10738,0,2024-04-17 01:00:00+03:00
0.10718,0,2024-04-17 03:00:00+03:00
0.10717,0,2024-04-17 05:00:00+03:00
0.10923,1,2024-04-17 07:00:00+03:00
0.10855,1,2024-04-17 09:00:00+03:00
0.10807,0,2024-04-17 11:00:00+03:00
0.10543,0,2024-04-17 13:00:00+03:00
0.10812,1,2024-04-17 15:00:00+03:00
0.10625,0,2024-04-17 17:00:00+03:00
0.10882,1,2024-04-17 19:00:00+03:00
0.11066,1,2024-04-17 21:00:00+03:00
0.11053,0,2024-04-17 23:00:00+03:00
0.10904,0,2024-04-18 01:00:00+03:00
0.1112,1,2024-04-18 03:00:00+03:00
0.11127,0,2024-04-18 05:00:00+03:00
0.1112,0,2024-04-18 07:00:00+03:00
0.10798,0,2024-04-18 09:00:00+03:00
0.10692,1,2024-04-18 11:00:00+03:00
0.10768,1,2024-04-18 13:00:00+03:00
0.10656,0,2024-04-18 15:00:00+03:00
0.10826,1,2024-04-18 17:00:00+03:00
0.10614,0,2024-04-18 19:00:00+03:00
0.10811,1,2024-04-18 21:00:00+03:00
0.10844,1,2024-04-18 23:00:00+03:00
0.10817,1,2024-04-19 01:00:00+03:00
0.10231,0,2024-04-19 03:00:00+03:00
0.1043,1,2024-04-19 05:00:00+03:00
0.10411,1,2024-04-19 07:00:00+03:00
0.10743,1,2024-04-19 09:00:00+03:00
0.10832,0,2024-04-19 11:00:00+03:00
0.10822,0,2024-04-19 13:00:00+03:00
0.10874,1,2024-04-19 15:00:00+03:00
0.10877,0,2024-04-19 17:00:00+03:00
0.10925,0,2024-04-19 19:00:00+03:00
0.10986,0,2024-04-19 21:00:00+03:00
