,index,open_time,close,y_pred,open,qty,balance,buy,sell,strategy_signal,portfolio_value
43,43,2024-04-14 09:00:00+03:00,0.10442,1,0.10197,9540.865695700231,0.0,,,1,996.2571959450181
44,44,2024-04-14 11:00:00+03:00,0.10295,0,0.10441,0.0,946.8682210175043,,2.0,0,946.8682210175043
45,45,2024-04-14 13:00:00+03:00,0.10066,0,0.10296,0.0,946.8682210175043,,,0,946.8682210175043
46,46,2024-04-14 15:00:00+03:00,0.10042,1,0.10065,9369.481472137544,0.0,-2.0,,1,940.8833294320522
47,47,2024-04-14 17:00:00+03:00,0.10101,1,0.10041,9369.481472137544,0.0,,,1,946.4113235006133
48,48,2024-04-14 19:00:00+03:00,0.10108,0,0.10101,9369.481472137544,0.0,,,0,947.067187203663
49,49,2024-04-14 21:00:00+03:00,0.10234,1,0.1011,9369.481472137544,0.0,,,1,958.8727338585563
50,50,2024-04-14 23:00:00+03:00,0.1009,0,0.10232,9369.481472137544,0.0,,,0,945.3806805386782
51,51,2024-04-15 01:00:00+03:00,0.10727,1,0.10091,9369.481472137544,0.0,,,1,1005.0642775161944
52,52,2024-04-15 03:00:00+03:00,0.10566,0,0.10728,9369.481472137544,0.0,,,0,989.979412346053
53,53,2024-04-15 05:00:00+03:00,0.10526,0,0.10566,0.0,989.7331797240718,,2.0,0,989.7331797240718
54,54,2024-04-15 07:00:00+03:00,0.10873,1,0.10526,9299.123963373855,0.0,-2.0,,1,1011.0937485376392
55,55,2024-04-15 09:00:00+03:00,0.1107,1,0.10874,9299.123963373855,0.0,,,1,1029.413022745486
56,56,2024-04-15 11:00:00+03:00,0.11038,0,0.11068,9299.123963373855,0.0,,,0,1026.4373030772063
57,57,2024-04-15 13:00:00+03:00,0.10958,0,0.11039,9299.123963373855,0.0,,,0,1018.998003906507
58,58,2024-04-15 15:00:00+03:00,0.10812,0,0.10958,9299.123963373855,0.0,,,0,1005.4212829199812
59,59,2024-04-15 17:00:00+03:00,0.10603,0,0.10811,9299.123963373855,0.0,,,0,985.9861138365299
60,60,2024-04-15 19:00:00+03:00,0.10456,0,0.10604,9299.123963373855,0.0,,,0,972.3164016103702
61,61,2024-04-15 21:00:00+03:00,0.10444,1,0.10455,9299.123963373855,0.0,,,1,971.2005067347654
62,62,2024-04-15 23:00:00+03:00,0.10304,1,0.10445,9299.123963373855,0.0,,,1,958.181733186042
63,63,2024-04-16 01:00:00+03:00,0.10216,0,0.10305,9299.123963373855,0.0,,,0,949.9985040982731
64,64,2024-04-16 03:00:00+03:00,0.10191,0,0.10218,0.0,965.5692928070073,,2.0,0,965.5692928070073
65,65,2024-04-16 05:00:00+03:00,0.10076,0,0.10191,0.0,965.5692928070073,,,0,965.5692928070073
66,66,2024-04-16 07:00:00+03:00,0.10044,1,0.10074,9547.320530287803,0.0,-2.0,,1,958.932874062107
67,67,2024-04-16 09:00:00+03:00,0.10412,1,0.10044,9547.320530287803,0.0,,,1,994.0670136135661
68,68,2024-04-16 11:00:00+03:00,0.10401,0,0.10411,9547.320530287803,0.0,,,0,993.0168083552345
69,69,2024-04-16 13:00:00+03:00,0.10529,1,0.104,9547.320530287803,0.0,,,1,1005.2373786340028
70,70,2024-04-16 15:00:00+03:00,0.1031,0,0.10532,9547.320530287803,0.0,,,0,984.3287466726725
71,71,2024-04-16 17:00:00+03:00,0.10177,0,0.10311,9547.320530287803,0.0,,,0,971.6308103673897
72,72,2024-04-16 19:00:00+03:00,0.10575,1,0.10177,9547.320530287803,0.0,,,1,1009.6291460779352
73,73,2024-04-16 21:00:00+03:00,0.10583,0,0.10578,9547.320530287803,0.0,,,0,1010.3929317203582
74,74,2024-04-16 23:00:00+03:00,0.10823,1,0.10583,0.0,1009.2809425388449,,2.0,1,1009.2809425388449
75,75,2024-04-17 01:00:00+03:00,0.10738,0,0.10822,0.0,1009.2809425388449,,,0,1009.2809425388449
76,76,2024-04-17 03:00:00+03:00,0.10718,0,0.10738,0.0,1009.2809425388449,,,0,1009.2809425388449
77,77,2024-04-17 05:00:00+03:00,0.10717,0,0.10718,0.0,1009.2809425388449,,,0,1009.2809425388449
78,78,2024-04-17 07:00:00+03:00,0.10923,1,0.10716,9339.981578238423,0.0,-2.0,,1,1020.2061877909829
79,79,2024-04-17 09:00:00+03:00,0.10855,1,0.10923,9339.981578238423,0.0,,,1,1013.8550003177808
80,80,2024-04-17 11:00:00+03:00,0.10807,0,0.10853,9339.981578238423,0.0,,,0,1009.3718091602263
81,81,2024-04-17 13:00:00+03:00,0.10543,0,0.10808,9339.981578238423,0.0,,,0,984.7142577936769
82,82,2024-04-17 15:00:00+03:00,0.10812,1,0.10543,9339.981578238423,0.0,,,1,1009.8388082391382
83,83,2024-04-17 17:00:00+03:00,0.10625,0,0.10811,9339.981578238423,0.0,,,0,992.3730426878324
84,84,2024-04-17 19:00:00+03:00,0.10882,1,0.10624,9339.981578238423,0.0,,,1,1016.3767953439052
85,85,2024-04-17 21:00:00+03:00,0.11066,1,0.10883,9339.981578238423,0.0,,,1,1033.5623614478639
86,86,2024-04-17 23:00:00+03:00,0.11053,0,0.11064,9339.981578238423,0.0,,,0,1032.3481638426929
87,87,2024-04-18 01:00:00+03:00,0.10904,0,0.11053,9339.981578238423,0.0,,,0,1018.4315912911177
88,88,2024-04-18 03:00:00+03:00,0.1112,1,0.10905,9339.981578238423,0.0,,,1,1038.6059515001125
89,89,2024-04-18 05:00:00+03:00,0.11127,0,0.11118,9339.981578238423,0.0,,,0,1039.2597502105893
90,90,2024-04-18 07:00:00+03:00,0.1112,0,0.11126,9339.981578238423,0.0,,,0,1038.6059515001125
91,91,2024-04-18 09:00:00+03:00,0.10798,0,0.11117,9339.981578238423,0.0,,,0,1008.531210818185
92,92,2024-04-18 11:00:00+03:00,0.10692,1,0.108,9339.981578238423,0.0,,,1,998.6308303452522
93,93,2024-04-18 13:00:00+03:00,0.10768,1,0.10692,9339.981578238423,0.0,,,1,1005.7292163447133
94,94,2024-04-18 15:00:00+03:00,0.10656,0,0.10768,9339.981578238423,0.0,,,0,995.2684369770864
95,95,2024-04-18 17:00:00+03:00,0.10826,1,0.10654,9339.981578238423,0.0,,,1,1011.1464056600917
96,96,2024-04-18 19:00:00+03:00,0.10614,0,0.10826,9339.981578238423,0.0,,,0,991.3456447142262
97,97,2024-04-18 21:00:00+03:00,0.10811,1,0.10613,9339.981578238423,0.0,,,1,1009.7454084233559
98,98,2024-04-18 23:00:00+03:00,0.10844,1,0.10813,9339.981578238423,0.0,,,1,1012.8276023441746
99,99,2024-04-19 01:00:00+03:00,0.10817,1,0.1084,9339.981578238423,0.0,,,1,1010.3058073180503
100,100,2024-04-19 03:00:00+03:00,0.10231,0,0.10817,9339.981578238423,0.0,,,0,955.573515269573
101,101,2024-04-19 05:00:00+03:00,0.1043,1,0.10231,9339.981578238423,0.0,,,1,974.1600786102675
102,102,2024-04-19 07:00:00+03:00,0.10411,1,0.10431,0.0,984.6398947314717,,2.0,1,984.6398947314717
103,103,2024-04-19 09:00:00+03:00,0.10743,1,0.10408,9357.603963772603,0.0,-2.0,,1,1005.2873938280907
104,104,2024-04-19 11:00:00+03:00,0.10832,0,0.10745,9357.603963772603,0.0,,,0,1013.6156613558483
105,105,2024-04-19 13:00:00+03:00,0.10822,0,0.10832,9357.603963772603,0.0,,,0,1012.6799009594711
106,106,2024-04-19 15:00:00+03:00,0.10874,1,0.10822,9357.603963772603,0.0,,,1,1017.5458550206329
107,107,2024-04-19 17:00:00+03:00,0.10877,0,0.10876,9357.603963772603,0.0,,,0,1017.8265831395461
